,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
249,0.00314,0.696,0.921,5.24e-05,0.0842,-3.755,0.0363,119.001,0.714
250,0.183,0.827,0.629,0.0,0.084,-3.966,0.185,88.064,0.486
251,0.631,0.449,0.42,0.0,0.0805,-9.624,0.356,176.989,0.41
252,0.105,0.639,0.685,0.0,0.143,-4.571,0.049,110.041,0.363
253,0.203,0.714,0.686,7.76e-06,0.102,-6.333,0.0445,127.015,0.828
254,0.351,0.489,0.878,0.0,0.698,-3.36,0.368,81.497,0.775
255,0.754,0.591,0.49,0.0,0.386,-13.387,0.0424,96.976,0.965
256,0.113,0.84,0.932,0.00102,0.0839,-5.041,0.179,137.969,0.879
257,0.0454,0.635,0.543,0.000678,0.272,-5.941,0.067,98.743,0.036
258,0.125,0.784,0.298,3.19e-05,0.0678,-9.56,0.0542,87.172,0.846
259,0.857,0.552,0.371,0.0,0.0838,-9.104,0.0359,199.843,0.245
260,0.32,0.817,0.814,0.0,0.152,-3.985,0.185,109.994,0.247
261,0.0277,0.826,0.647,1.52e-06,0.298,-6.306,0.0491,102.017,0.872
262,0.207,0.759,0.639,0.0,0.23,-8.085,0.0511,128.01,0.682
263,0.0259,0.743,0.424,0.00105,0.112,-6.958,0.51,201.066,0.266
264,0.00607,0.559,0.889,0.0,0.476,-3.995,0.0434,129.063,0.628
265,0.533,0.797,0.75,0.108,0.095,-9.369,0.247,177.87,0.74
266,0.0283,0.616,0.869,0.0,0.064,-3.911,0.0327,127.966,0.473
267,0.121,0.788,0.842,0.00112,0.166,-4.006,0.142,190.077,0.481
268,0.0465,0.752,0.586,0.0,0.0554,-7.896,0.071,92.033,0.815
269,0.0152,0.817,0.646,0.0,0.125,-5.12,0.249,162.898,0.835
270,0.337,0.63,0.446,0.0,0.166,-8.9,0.0351,143.078,0.177
271,0.667,0.662,0.403,0.0,0.0527,-12.029,0.0291,119.891,0.85
272,0.000417,0.654,0.875,0.0086,0.194,-4.845,0.0744,99.975,0.522
273,0.017,0.923,0.604,0.0,0.272,-6.671,0.245,145.062,0.826
274,0.0483,0.691,0.631,1.13e-05,0.104,-6.478,0.0368,92.004,0.8
275,0.292,0.634,0.645,0.0,0.246,-9.2,0.0376,93.05,0.677
276,0.00981,0.629,0.692,0.331,0.603,-8.045,0.0376,162.948,0.453
277,0.0139,0.538,0.863,0.0,0.0874,-4.483,0.0481,77.001,0.637
278,0.21,0.448,0.838,0.000131,0.131,-5.257,0.0557,139.863,0.254
279,0.839,0.567,0.267,1.46e-06,0.089,-6.502,0.0299,110.011,0.0592
280,0.00495,0.423,0.73,1.13e-05,0.238,-5.566,0.032,205.972,0.66
281,0.114,0.755,0.536,0.0,0.0282,-5.605,0.12,138.969,0.882
282,0.843,0.55,0.271,3.21e-06,0.107,-8.451,0.0297,111.344,0.198
283,0.531,0.689,0.675,3.17e-06,0.115,-4.281,0.32,180.077,0.604
284,0.531,0.689,0.675,3.17e-06,0.115,-4.281,0.32,180.077,0.604
285,0.531,0.689,0.675,3.17e-06,0.115,-4.281,0.32,180.077,0.604
286,0.669,0.681,0.504,0.0,0.142,-11.099,0.0284,89.994,0.705
287,0.531,0.689,0.675,3.17e-06,0.115,-4.281,0.32,180.077,0.604
288,0.531,0.689,0.675,3.17e-06,0.115,-4.281,0.32,180.077,0.604
289,0.531,0.689,0.675,3.17e-06,0.115,-4.281,0.32,180.077,0.604
290,0.000289,0.217,0.905,0.00011,0.222,-4.103,0.0752,96.95,0.236
291,0.274,0.654,0.47,0.249,0.103,-10.383,0.0586,77.083,0.462
292,0.382,0.474,0.604,0.0,0.127,-6.065,0.0374,171.857,0.555
293,0.179,0.768,0.82,0.0,0.704,-4.63,0.0475,129.969,0.625
294,0.098,0.766,0.519,0.0,0.0855,-7.355,0.0366,129.972,0.612
295,0.00463,0.819,0.702,0.000207,0.101,-6.129,0.251,95.094,0.573
296,0.241,0.755,0.594,0.0,0.107,-5.906,0.216,178.929,0.237
297,0.00161,0.699,0.805,0.00177,0.249,-5.535,0.0345,109.976,0.232
298,0.103,0.602,0.493,0.0,0.119,-6.907,0.0308,112.979,0.487
299,0.257,0.662,0.507,0.0,0.0465,-8.238,0.118,86.412,0.676
300,0.0246,0.841,0.733,0.0,0.174,-5.077,0.142,130.009,0.284
301,0.512,0.523,0.606,0.0,0.106,-4.754,0.0301,145.837,0.065
302,0.33,0.609,0.799,0.0,0.108,-6.883,0.24,157.74,0.582
303,0.0738,0.504,0.785,0.0,0.239,-4.802,0.104,173.968,0.502
304,0.547,0.274,0.348,0.0133,0.334,-8.631,0.0293,87.43,0.328
305,0.0175,0.531,0.909,0.0,0.231,-4.236,0.034,97.546,0.814
306,0.0651,0.797,0.844,0.0,0.087,-5.482,0.275,170.142,0.52
307,0.235,0.522,0.428,2.35e-06,0.278,-11.332,0.143,129.829,0.399
308,0.0165,0.747,0.74,9.94e-05,0.101,-4.325,0.191,176.062,0.552
309,0.0264,0.73,0.792,0.0,0.101,-5.33,0.13,99.039,0.745
310,0.535,0.752,0.505,2.55e-06,0.104,-7.621,0.253,91.97,0.419
311,0.0237,0.676,0.771,7e-06,0.102,-3.675,0.0483,99.048,0.569
312,0.0326,0.744,0.868,0.0,0.0822,-4.524,0.047,93.037,0.586
313,0.0123,0.852,0.674,0.0,0.126,-4.166,0.211,130.085,0.584
314,0.269,0.845,0.677,0.000917,0.108,-4.798,0.136,90.013,0.68
315,0.0375,0.812,0.8,0.000112,0.0638,-4.282,0.077,130.036,0.357
316,0.362,0.357,0.668,1.37e-06,0.727,-8.444,0.0479,139.986,0.407
317,0.779,0.699,0.304,0.000993,0.137,-11.192,0.0993,119.705,0.271
318,0.183,0.878,0.525,0.0,0.0714,-6.832,0.0578,112.022,0.694
319,0.161,0.513,0.661,0.0,0.246,-6.419,0.24,94.791,0.179
320,0.0108,0.657,0.695,0.0,0.0822,-4.493,0.0321,65.997,0.683
321,0.038,0.914,0.463,0.0,0.0833,-10.187,0.174,144.039,0.532
322,0.223,0.63,0.485,0.0535,0.103,-8.955,0.0299,149.23,0.398
323,0.0366,0.781,0.533,0.0,0.597,-9.215,0.302,133.967,0.326
324,0.133,0.288,0.638,8.16e-05,0.14,-6.935,0.0779,66.424,0.147
325,0.156,0.815,0.567,0.0,0.0884,-4.653,0.135,95.034,0.732
326,0.0737,0.574,0.664,0.0,0.22,-11.5,0.0346,122.956,0.936
327,0.0811,0.631,0.672,0.0,0.154,-4.583,0.0347,119.948,0.282
328,0.0872,0.792,0.793,0.0,0.22,-6.185,0.0841,123.031,0.775
329,0.00544,0.731,0.368,0.0,0.193,-10.38,0.0688,145.171,0.512
330,0.121,0.651,0.762,0.0,0.167,-6.084,0.0284,109.959,0.292
331,0.183,0.817,0.834,0.000145,0.121,-3.761,0.0509,102.006,0.517
332,0.216,0.758,0.574,0.0,0.144,-7.833,0.217,144.081,0.706
333,0.315,0.754,0.805,0.0,0.203,-4.249,0.0752,93.982,0.555
334,0.46,0.758,0.574,0.00272,0.102,-6.889,0.0572,151.985,0.261
335,0.192,0.671,0.939,0.0,0.298,-3.206,0.161,129.023,0.529
336,0.823,0.564,0.237,0.000477,0.0905,-18.762,0.0499,137.613,0.625
337,0.534,0.55,0.363,0.0,0.128,-7.326,0.0336,121.94,0.286
338,0.58,0.775,0.452,0.0,0.17,-4.243,0.0311,129.941,0.606
339,0.0338,0.663,0.861,0.0,0.082,-3.398,0.109,119.963,0.654
340,0.394,0.0,0.00148,1.0,0.111,-31.839,0.0,0.0,0.0
341,0.201,0.657,0.569,1.38e-05,0.126,-6.287,0.0542,102.054,0.399
342,0.0112,0.72,0.625,0.0076,0.0999,-6.274,0.0362,102.006,0.818
343,0.073,0.754,0.342,0.0,0.193,-8.677,0.0991,128.981,0.423
344,0.0334,0.72,0.669,0.0,0.147,-6.244,0.207,175.934,0.668
345,0.246,0.737,0.918,0.0,0.29,-5.843,0.0977,110.038,0.804
346,0.193,0.774,0.914,0.0,0.427,-4.739,0.159,98.031,0.816
347,0.371,0.9,0.385,0.0,0.142,-12.189,0.435,99.964,0.488
348,0.000278,0.419,0.934,0.0015,0.132,-3.908,0.12,127.288,0.286
349,0.977,0.336,0.533,0.807,0.897,-14.672,0.744,127.829,0.417
350,0.268,0.747,0.573,0.0,0.302,-6.562,0.295,90.036,0.551
351,0.126,0.732,0.462,0.0,0.12,-10.191,0.406,180.067,0.117
352,0.0334,0.721,0.716,0.00084,0.237,-7.037,0.0657,104.994,0.667
353,0.179,0.661,0.723,1.23e-05,0.14,-6.976,0.0566,113.778,0.316
354,0.686,0.691,0.186,0.934,0.0762,-13.672,0.0487,86.383,0.548
355,0.174,0.517,0.622,0.0,0.105,-3.536,0.0577,170.154,0.463
356,0.213,0.651,0.699,0.000265,0.12,-5.006,0.0265,141.938,0.36
357,3.81e-05,0.403,0.965,0.000276,0.341,-2.238,0.0964,112.363,0.431
358,0.00165,0.2,0.977,1.1e-05,0.259,-3.494,0.159,195.711,0.39
359,0.281,0.83,0.574,0.0,0.124,-6.892,0.701,143.892,0.538
360,0.244,0.73,0.769,2.06e-05,0.136,-4.936,0.178,181.988,0.594
361,0.154,0.665,0.741,3.02e-05,0.345,-3.694,0.0787,144.968,0.57
362,0.512,0.718,0.712,0.00121,0.104,-4.366,0.174,180.034,0.531
363,0.0384,0.618,0.748,4.1e-06,0.0473,-8.905,0.358,134.114,0.663
364,0.00314,0.645,0.585,0.0,0.165,-6.122,0.0513,131.931,0.353
365,0.4,0.815,0.856,8.34e-05,0.244,-3.825,0.122,91.995,0.872
366,0.00453,0.671,0.699,0.000277,0.173,-4.224,0.0647,72.946,0.379
367,0.00346,0.723,0.809,0.00123,0.565,-3.081,0.0625,98.007,0.274
368,0.239,0.762,0.387,0.00756,0.13,-8.643,0.0277,109.959,0.273
369,0.03,0.873,0.719,0.0,0.333,-5.948,0.248,93.281,0.858
370,0.0153,0.774,0.873,0.00506,0.293,-1.587,0.0418,96.033,0.845
371,0.0153,0.774,0.873,0.00506,0.293,-1.587,0.0418,96.033,0.845
372,0.0153,0.774,0.873,0.00506,0.293,-1.587,0.0418,96.033,0.845
373,0.0153,0.774,0.873,0.00506,0.293,-1.587,0.0418,96.033,0.845
374,0.0153,0.774,0.873,0.00506,0.293,-1.587,0.0418,96.033,0.845
375,0.0153,0.774,0.873,0.00506,0.293,-1.587,0.0418,96.033,0.845
376,0.027,0.876,0.712,0.00798,0.0863,-5.399,0.148,100.006,0.64
377,0.0153,0.774,0.873,0.00506,0.293,-1.587,0.0418,96.033,0.845
378,0.0153,0.774,0.873,0.00506,0.293,-1.587,0.0418,96.033,0.845
379,0.0153,0.774,0.873,0.00506,0.293,-1.587,0.0418,96.033,0.845
380,0.00302,0.437,0.863,0.0,0.144,-5.28,0.0941,194.073,0.233
381,0.144,0.637,0.79,0.0,0.213,-5.128,0.381,80.542,0.23
382,0.0624,0.632,0.858,0.0,0.347,-3.463,0.035,119.397,0.872
383,0.605,0.669,0.388,0.144,0.0905,-11.547,0.0306,130.016,0.645
384,0.468,0.764,0.528,0.0,0.0811,-4.082,0.0588,123.936,0.422
385,0.31,0.517,0.424,0.0,0.384,-7.899,0.0338,140.906,0.354
386,0.525,0.63,0.474,6.93e-05,0.0824,-13.669,0.0276,105.277,0.435
387,0.000896,0.568,0.891,0.000137,0.357,-5.786,0.0376,104.954,0.522
388,0.151,0.707,0.543,0.0,0.384,-4.61,0.279,144.18,0.824
389,0.026,0.349,0.917,7.25e-06,0.0968,-3.645,0.071,164.036,0.206
390,0.0576,0.906,0.584,0.0,0.128,-7.72,0.316,129.055,0.831
391,0.000634,0.742,0.844,0.0,0.0659,-4.622,0.0479,131.986,0.416
392,0.0827,0.797,0.605,3.44e-06,0.124,-5.123,0.0578,110.024,0.448
393,0.0902,0.43,0.7,0.0,0.216,-5.35,0.264,158.373,0.731
394,0.00314,0.696,0.921,5.24e-05,0.0842,-3.755,0.0363,119.001,0.714
395,0.1,0.747,0.899,0.0,0.486,-5.125,0.247,92.029,0.58
396,0.00448,0.78,0.748,0.000591,0.115,-7.394,0.0352,125.974,0.0659
397,0.00482,0.89,0.664,0.0,0.257,-6.625,0.106,93.006,0.467
398,0.0234,0.769,0.811,0.0,0.0451,-4.162,0.228,155.081,0.761
399,0.164,0.727,0.832,0.0,0.105,-5.851,0.05,131.703,0.822
400,0.00509,0.803,0.759,0.0,0.0921,-4.692,0.0494,104.0,0.284
401,0.171,0.587,0.711,0.0,0.125,-6.33,0.42,98.008,0.381
402,0.821,0.621,0.147,0.0,0.0754,-11.111,0.0374,110.62,0.346
403,0.978,0.367,0.111,3.97e-05,0.0897,-14.084,0.0972,82.642,0.198
404,0.113,0.705,0.769,0.0,0.105,-5.526,0.0425,107.949,0.583
405,0.0362,0.824,0.733,0.0,0.325,-5.474,0.0613,97.972,0.395
406,0.0312,0.886,0.427,0.00099,0.0906,-10.028,0.145,108.034,0.23
407,0.0285,0.805,0.637,0.0,0.0919,-6.29,0.337,103.886,0.388
408,0.00256,0.618,0.717,0.0,0.625,-5.738,0.318,190.05,0.603
409,0.175,0.661,0.748,0.0,0.254,-4.808,0.206,171.983,0.508
410,0.168,0.697,0.832,0.00131,0.269,-7.264,0.0298,125.926,0.979
411,0.0671,0.722,0.252,0.0,0.0852,-14.411,0.0761,79.923,0.275
412,0.00058,0.544,0.96,1.99e-05,0.0531,-4.681,0.106,154.966,0.718
413,0.15,0.741,0.845,0.0,0.174,-3.568,0.0381,129.939,0.926
414,0.143,0.677,0.724,0.000101,0.158,-8.992,0.0245,90.392,0.697
415,0.348,0.72,0.538,0.0,0.0654,-8.874,0.0455,80.096,0.805
416,0.237,0.626,0.816,1.8e-06,0.104,-10.593,0.13,105.33,0.798
417,0.234,0.751,0.501,0.112,0.0467,-12.151,0.0551,167.057,0.902
418,0.396,0.826,0.47,0.0,0.0979,-7.609,0.0584,118.198,0.964
419,0.978,0.388,0.145,6.86e-06,0.0997,-19.697,0.0318,75.474,0.0911
420,0.962,0.419,0.00437,0.0,0.131,-35.23,0.0506,70.106,0.285
421,0.86,0.0995,0.0158,0.000539,0.107,-32.345,0.0549,69.218,0.0464
422,0.992,0.131,0.0449,0.487,0.132,-28.677,0.0443,171.581,0.19
423,0.958,0.579,0.276,0.00202,0.0551,-17.433,0.0446,95.222,0.715
424,0.864,0.273,0.0447,0.0,0.266,-27.637,0.0574,86.403,0.083
425,0.985,0.324,0.526,0.841,0.244,-14.502,0.0932,155.179,0.519
426,0.994,0.443,0.00944,0.948,0.0799,-26.549,0.0637,79.06,0.143
427,0.992,0.711,0.0923,0.77,0.151,-23.867,0.0428,96.904,0.579
428,0.985,0.324,0.526,0.841,0.244,-14.502,0.0932,155.179,0.519
429,0.991,0.533,0.12,0.908,0.112,-20.826,0.0506,103.351,0.394
430,0.0185,0.704,0.859,0.0,0.0215,-4.877,0.0996,105.115,0.926
431,0.131,0.806,0.718,0.0,0.398,-4.213,0.0898,98.526,0.586
432,0.765,0.572,0.209,0.0,0.356,-10.413,0.0313,80.069,0.446
433,0.0724,0.6,0.698,1.64e-06,0.113,-5.86,0.0355,140.032,0.57
434,0.0711,0.465,0.735,0.0,0.0975,-3.715,0.117,173.935,0.409
435,0.0746,0.798,0.673,0.0,0.126,-5.628,0.289,141.12,0.405
436,0.249,0.389,0.431,0.0,0.13,-8.061,0.0344,142.14,0.275
437,0.000242,0.606,0.887,0.0,0.337,-4.404,0.0598,119.974,0.903
438,0.0251,0.894,0.511,0.0,0.14,-4.768,0.42,120.08,0.568
439,0.000532,0.535,0.521,0.371,0.19,-5.942,0.0272,140.026,0.457
440,0.0692,0.673,0.58,8.52e-05,0.186,-6.029,0.0416,95.989,0.257
441,0.284,0.778,0.824,0.0,0.405,-5.892,0.0712,100.024,0.756
442,0.0015,0.339,0.931,0.000142,0.425,-3.425,0.062,112.548,0.467
443,0.0392,0.575,0.621,0.0045,0.141,-8.165,0.032,101.987,0.27
444,0.162,0.76,0.658,0.0,0.195,-5.275,0.275,100.202,0.565
445,0.042,0.944,0.511,0.00107,0.0379,-10.96,0.161,113.046,0.842
446,0.379,0.812,0.519,0.0,0.13,-4.823,0.0385,104.954,0.554
447,0.00485,0.872,0.814,1.96e-06,0.214,-4.568,0.155,98.985,0.57
448,0.0828,0.844,0.644,0.0,0.113,-6.273,0.0479,122.061,0.591
449,0.431,0.484,0.731,0.0,0.151,-6.694,0.0379,101.654,0.51
450,0.796,0.584,0.474,2.69e-06,0.115,-7.981,0.0258,101.457,0.332
451,0.252,0.739,0.616,1.93e-06,0.101,-6.963,0.0338,91.071,0.654
452,0.0668,0.964,0.605,7.78e-06,0.214,-6.223,0.179,129.994,0.646
453,0.744,0.507,0.616,2.98e-06,0.261,-4.746,0.0377,65.372,0.353
454,0.448,0.91,0.604,0.0,0.0863,-4.392,0.082,110.075,0.807
455,0.022,0.667,0.636,0.0,0.0908,-5.669,0.082,158.058,0.152
456,0.0168,0.841,0.522,1.37e-06,0.188,-5.963,0.049,99.059,0.616
457,0.205,0.626,0.88,0.0,0.128,-2.384,0.0504,95.079,0.534
458,0.000385,0.295,0.584,0.218,0.0996,-6.696,0.0345,117.2,0.228
459,0.0909,0.813,0.57,0.0,0.0982,-8.409,0.265,109.07,0.676
460,0.000989,0.421,0.677,9.65e-05,0.211,-6.183,0.0343,127.67,0.683
461,0.0358,0.886,0.743,0.000198,0.0511,-6.797,0.0812,131.902,0.941
462,0.211,0.77,0.482,0.0,0.223,-9.529,0.351,91.994,0.441
463,0.14,0.802,0.785,0.0,0.123,-4.781,0.207,99.998,0.435
464,0.68,0.724,0.305,0.0,0.128,-12.763,0.257,81.874,0.594
465,0.732,0.628,0.298,0.0,0.116,-9.539,0.0713,63.762,0.166
466,0.16,0.792,0.687,0.0,0.168,-7.506,0.25,140.008,0.356
467,0.000547,0.569,0.638,0.0,0.0848,-6.557,0.0291,144.042,0.438
468,0.0232,0.653,0.634,0.0,0.0908,-5.875,0.0391,160.013,0.306
469,0.000769,0.366,0.94,9.42e-05,0.188,-5.119,0.0696,130.198,0.369
470,0.0184,0.756,0.674,0.0,0.158,-6.518,0.0959,111.995,0.389
471,0.0324,0.692,0.736,0.0,0.0787,-5.109,0.11,73.987,0.217
472,0.194,0.805,0.858,7.89e-06,0.256,-3.067,0.105,97.033,0.523
473,0.432,0.724,0.357,0.0,0.12,-8.197,0.0715,141.159,0.69
474,0.114,0.858,0.697,0.0,0.224,-5.361,0.23,98.013,0.364
475,0.206,0.504,0.597,0.0,0.0949,-6.237,0.1,117.974,0.557
476,0.966,0.419,0.116,0.648,0.138,-18.397,0.0331,74.634,0.0865
477,0.461,0.748,0.739,4.7e-06,0.0834,-1.972,0.0381,115.966,0.962
478,0.0259,0.743,0.424,0.00105,0.112,-6.958,0.51,201.066,0.266
479,0.0227,0.401,0.802,0.0,0.338,-5.278,0.0294,191.093,0.849
480,0.946,0.736,0.308,0.0,0.186,-7.83,0.0677,111.202,0.361
481,0.944,0.0,2.03e-05,0.869,0.112,-40.449,0.0,0.0,0.0
482,0.694,0.705,0.609,0.0,0.234,-5.728,0.0729,140.058,0.718
483,0.0862,0.561,0.779,0.0,0.078,-5.107,0.0531,81.965,0.235
484,0.192,0.741,0.645,0.0,0.163,-5.116,0.0963,149.07,0.488
485,0.247,0.697,0.535,0.0,0.569,-6.504,0.068,82.959,0.594
486,0.932,0.612,0.28,0.0,0.088,-8.648,0.0434,72.795,0.387
487,0.418,0.595,0.389,1.39e-06,0.116,-9.245,0.0349,166.052,0.4
488,0.139,0.762,0.861,1.08e-06,0.0956,-4.075,0.0652,133.037,0.588
489,0.694,0.585,0.303,0.0,0.115,-10.058,0.0398,136.703,0.142
490,0.2,0.36,0.716,0.0,0.581,-6.181,0.34,86.001,0.274
491,0.0404,0.677,0.744,0.00016,0.074,-6.806,0.0295,124.08,0.631
492,0.19,0.614,0.66,0.0,0.211,-2.848,0.0441,145.01,0.452
493,0.0244,0.456,0.828,0.0,0.21,-6.225,0.077,116.719,0.313
494,0.766,0.754,0.4,0.0,0.196,-8.832,0.0579,135.945,0.693
495,0.495,0.686,0.372,0.776,0.194,-12.403,0.0539,123.952,0.301
496,0.964,0.661,0.14,1.63e-05,0.106,-16.339,0.0324,79.977,0.306
497,0.0189,0.75,0.727,0.0,0.266,-4.21,0.142,129.993,0.359
498,0.0296,0.412,0.441,0.0726,0.306,-11.523,0.291,185.571,0.174
499,0.0921,0.72,0.802,0.0,0.694,-5.797,0.0582,124.043,0.723
