,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,Label
0,0.522,0.609,0.435,0.0,0.118,-7.861,0.285,131.995,0.552,1.0
1,0.432,0.601,0.532,6.25e-06,0.0925,-9.119,0.0286,136.571,0.341,1.0
2,0.118,0.638,0.656,2.68e-06,0.0841,-6.581,0.0419,93.053,0.382,1.0
3,0.0185,0.704,0.859,0.0,0.0215,-4.877,0.0996,105.115,0.926,1.0
4,0.118,0.579,0.267,0.000562,0.132,-15.11,0.0348,74.899,0.353,1.0
5,0.0459,0.364,0.525,3.04e-05,0.131,-8.405,0.0297,104.1,0.256,1.0
6,0.271,0.595,0.379,2.81e-05,0.1,-12.058,0.0454,92.006,0.448,1.0
7,0.00568,0.468,0.936,0.0,0.24,-3.683,0.0455,75.05,0.663,1.0
8,0.742,0.542,0.224,0.0,0.135,-15.05,0.0308,81.623,0.284,1.0
9,0.715,0.424,0.544,0.0,0.1,-7.3,0.192,171.751,0.578,1.0
10,0.338,0.739,0.609,3.11e-05,0.381,-5.574,0.0546,95.478,0.703,1.0
11,0.684,0.769,0.367,1.62e-05,0.081,-11.226,0.0312,103.621,0.535,1.0
12,0.155,0.626,0.512,4.65e-05,0.215,-9.15,0.0247,92.225,0.73,1.0
13,0.429,0.471,0.68,0.0,0.758,-6.059,0.134,86.414,0.489,1.0
14,0.262,0.7,0.697,0.0,0.107,-5.356,0.0525,124.825,0.293,1.0
15,0.694,0.852,0.583,0.0,0.104,-4.596,0.117,90.019,0.335,1.0
16,0.843,0.607,0.142,0.000197,0.121,-23.455,0.0382,118.867,0.305,1.0
17,0.645,0.566,0.713,0.0,0.114,-4.25,0.0417,169.864,0.807,1.0
18,0.624,0.862,0.654,0.00741,0.369,-6.861,0.0514,119.993,0.859,1.0
19,0.00549,0.797,0.606,9.62e-05,0.0954,-6.41,0.0938,99.982,0.77,1.0
20,0.351,0.592,0.728,1.03e-05,0.459,-6.342,0.205,62.966,0.395,1.0
21,0.0307,0.656,0.741,0.000147,0.0709,-6.135,0.0505,82.988,0.549,1.0
22,0.44,0.875,0.475,0.72,0.046,-12.673,0.0986,99.958,0.384,1.0
23,0.869,0.598,0.357,0.0957,0.27,-12.104,0.0492,75.017,0.168,1.0
24,0.522,0.608,0.388,0.118,0.11,-11.675,0.0341,138.058,0.145,1.0
25,0.359,0.831,0.419,0.00228,0.0959,-7.381,0.44,84.983,0.339,1.0
26,0.167,0.743,0.347,0.00951,0.103,-11.174,0.121,160.143,0.572,1.0
27,0.148,0.779,0.516,0.0,0.0492,-6.467,0.0521,120.026,0.715,1.0
28,0.0732,0.707,0.462,0.0,0.199,-6.696,0.117,83.994,0.547,1.0
29,0.614,0.527,0.555,0.574,0.33,-11.346,0.0272,143.917,0.18,1.0
30,0.463,0.778,0.462,0.583,0.11,-12.729,0.0359,105.45,0.817,1.0
31,0.427,0.707,0.546,0.17,0.101,-9.017,0.0399,78.007,0.774,1.0
32,0.00324,0.676,0.594,0.000912,0.0645,-5.588,0.053,131.922,0.602,1.0
33,0.014,0.767,0.671,2.27e-05,0.171,-5.75,0.0589,99.987,0.587,1.0
34,0.00286,0.788,0.616,0.549,0.0952,-10.671,0.0337,119.037,0.696,1.0
35,0.041,0.807,0.51,0.115,0.104,-9.729,0.0433,130.118,0.961,1.0
36,0.825,0.712,0.5,0.314,0.106,-11.948,0.0338,90.039,0.682,1.0
37,0.0561,0.695,0.884,0.0,0.213,-2.278,0.0753,103.014,0.914,1.0
38,0.00267,0.597,0.845,0.173,0.203,-7.803,0.0335,140.005,0.63,1.0
39,0.325,0.828,0.689,0.0384,0.0808,-7.878,0.0326,123.931,0.853,1.0
40,0.573,0.668,0.361,0.00506,0.0805,-8.69,0.0273,134.15,0.288,1.0
41,0.159,0.577,0.756,0.000232,0.249,-5.82,0.115,176.75,0.663,1.0
42,0.0181,0.699,0.77,0.000138,0.0644,-7.658,0.036,101.984,0.589,1.0
43,0.113,0.472,0.448,0.0,0.0914,-7.272,0.326,166.077,0.636,1.0
44,0.162,0.554,0.596,0.00482,0.0805,-8.214,0.13,165.728,0.255,1.0
45,0.67,0.544,0.552,4.57e-05,0.415,-7.45,0.0991,159.738,0.554,1.0
46,0.556,0.76,0.479,0.0,0.0703,-5.574,0.0466,89.911,0.913,1.0
47,0.427,0.885,0.581,0.000204,0.0759,-8.813,0.0378,114.016,0.728,1.0
48,0.00691,0.566,0.716,0.0,0.37,-5.733,0.0424,81.068,0.45,1.0
49,0.0484,0.764,0.526,0.0,0.0718,-7.355,0.212,114.91,0.588,1.0
50,0.42,0.547,0.605,0.0,0.125,-6.755,0.0415,121.953,0.364,1.0
51,0.864,0.703,0.321,0.0,0.908,-13.135,0.884,114.822,0.544,1.0
52,0.00782,0.787,0.669,0.0,0.123,-4.333,0.0428,104.994,0.57,1.0
53,0.0132,0.731,0.845,0.0,0.0782,-5.352,0.132,101.085,0.484,1.0
54,0.114,0.582,0.693,0.0,0.13,-5.048,0.0465,125.904,0.341,1.0
55,0.0112,0.746,0.765,0.0,0.0936,-4.41,0.0993,114.044,0.737,1.0
56,0.216,0.689,0.702,0.0,0.159,-5.642,0.0261,99.031,0.484,1.0
57,0.159,0.68,0.594,2.35e-06,0.134,-7.021,0.28,186.04,0.475,1.0
58,0.0193,0.611,0.697,0.0,0.332,-8.618,0.133,122.752,0.476,1.0
59,0.0426,0.794,0.811,1.07e-06,0.101,-8.966,0.038,116.047,0.862,1.0
60,0.0427,0.817,0.716,0.00263,0.358,-8.898,0.144,123.475,0.692,1.0
61,0.44,0.875,0.475,0.72,0.046,-12.673,0.0986,99.958,0.384,1.0
62,0.0839,0.832,0.659,0.00114,0.0753,-7.828,0.057,100.163,0.674,1.0
63,0.429,0.769,0.813,0.0,0.0952,-5.9,0.143,92.985,0.567,1.0
64,0.914,0.542,0.776,0.884,0.262,-17.679,0.0463,106.005,0.0229,1.0
65,0.00135,0.874,0.437,0.0296,0.0293,-10.234,0.0706,117.79,0.963,1.0
66,0.0481,0.644,0.664,0.862,0.342,-8.398,0.0333,124.726,0.53,1.0
67,0.00286,0.788,0.616,0.549,0.0952,-10.671,0.0337,119.037,0.696,1.0
68,0.000369,0.812,0.516,1.09e-05,0.0991,-6.963,0.224,127.498,0.633,1.0
69,0.413,0.568,0.928,0.572,0.111,-6.071,0.0733,122.892,0.181,1.0
70,0.00139,0.608,0.725,0.0546,0.0802,-4.367,0.342,136.251,0.802,1.0
71,0.0035,0.696,0.75,0.922,0.0889,-8.503,0.0721,124.048,0.937,1.0
72,0.0692,0.74,0.682,0.53,0.381,-10.42,0.0504,113.201,0.41,1.0
73,0.894,0.702,0.297,0.485,0.103,-14.116,0.0317,110.116,0.0676,1.0
74,0.0378,0.81,0.793,1.82e-06,0.072,-9.404,0.0403,116.049,0.863,1.0
75,0.367,0.716,0.648,0.485,0.368,-11.33,0.0337,104.022,0.789,1.0
76,0.041,0.807,0.51,0.115,0.104,-9.729,0.0433,130.118,0.961,1.0
77,0.652,0.388,0.338,3.72e-06,0.248,-10.054,0.0328,177.784,0.477,1.0
78,0.0308,0.523,0.762,0.0,0.0675,-8.669,0.0346,128.064,0.881,1.0
79,0.204,0.434,0.885,0.0,0.0811,-7.367,0.0396,93.999,0.843,1.0
80,0.74,0.801,0.446,0.038,0.0832,-14.605,0.0735,97.898,0.925,1.0
81,0.0472,0.563,0.865,0.000191,0.77,-5.277,0.16,156.271,0.601,1.0
82,0.261,0.547,0.82,0.0,0.3,-6.728,0.0805,118.208,0.933,1.0
83,0.441,0.667,0.669,0.0023,0.215,-6.264,0.0326,98.264,0.947,1.0
84,0.231,0.793,0.481,0.00122,0.06,-14.246,0.0278,107.744,0.97,1.0
85,0.00154,0.488,0.754,2.42e-05,0.678,-7.95,0.0381,88.369,0.664,1.0
86,0.355,0.621,0.825,0.000932,0.152,-6.005,0.0324,129.168,0.886,1.0
87,0.183,0.507,0.327,0.0,0.11,-9.574,0.0286,169.54,0.627,1.0
88,0.382,0.414,0.428,0.000243,0.148,-11.097,0.0278,145.075,0.282,1.0
89,0.288,0.392,0.402,0.0,0.243,-9.961,0.0536,143.883,0.228,1.0
90,0.432,0.601,0.532,6.25e-06,0.0925,-9.119,0.0286,136.571,0.341,1.0
91,0.739,0.657,0.435,0.0,0.167,-15.707,0.0552,135.975,0.771,1.0
92,0.486,0.715,0.678,0.000192,0.15,-11.842,0.0475,94.769,0.947,1.0
93,0.19,0.497,0.693,0.0,0.215,-7.024,0.0565,111.539,0.358,1.0
94,0.177,0.742,0.863,5.59e-06,0.0699,-7.823,0.038,131.193,0.776,1.0
95,0.0866,0.454,0.91,0.0996,0.116,-7.766,0.0448,125.116,0.629,1.0
96,0.461,0.573,0.683,0.0,0.0935,-6.644,0.176,169.519,0.817,1.0
97,0.172,0.745,0.356,0.00943,0.123,-10.425,0.0941,160.033,0.607,1.0
98,0.44,0.875,0.475,0.72,0.046,-12.673,0.0986,99.958,0.384,1.0
99,0.524,0.692,0.809,0.0,0.147,-4.198,0.0602,123.911,0.864,1.0
100,0.605,0.331,0.55,3.96e-06,0.192,-6.483,0.0272,177.734,0.429,1.0
101,0.144,0.638,0.867,0.000733,0.0846,-6.469,0.0331,115.692,0.805,1.0
102,0.038,0.633,0.634,0.0064,0.0385,-12.115,0.0725,100.499,0.872,1.0
103,0.313,0.66,0.512,0.0,0.283,-7.183,0.0294,133.607,0.852,1.0
104,0.699,0.531,0.481,0.0,0.0842,-11.709,0.06,138.45,0.491,1.0
105,0.0322,0.703,0.826,0.00629,0.179,-7.179,0.0341,103.564,0.945,1.0
106,0.611,0.529,0.127,0.000109,0.237,-16.066,0.0274,63.05,0.578,1.0
107,0.364,0.455,0.884,0.0,0.277,-9.159,0.0385,142.655,0.784,1.0
108,0.57,0.65,0.306,7.07e-06,0.0707,-9.443,0.0393,118.068,0.605,1.0
109,0.00574,0.579,0.508,0.000494,0.0575,-9.484,0.027,147.125,0.609,1.0
110,0.181,0.596,0.605,0.000331,0.0863,-12.145,0.0255,97.798,0.886,1.0
111,0.257,0.671,0.373,8.01e-05,0.0481,-18.064,0.0323,92.718,0.732,1.0
112,0.382,0.539,0.884,0.00166,0.76,-6.53,0.0403,100.812,0.752,1.0
